"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2323065/buy","Pink printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-mustard-brown-printed-a-line-kurta/2323084/buy","Mustard brown printed A-line kurta, has a mandarin collar, three-quarter sleeves, high-low hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-yellow-genda-phul-collection-chanderi-blend-kurta/2323261/buy","Yellow yoke design A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Chanderi blendMachine-wash"
"kurtas/anouk/anouk-women-maroon-printed-a-line-kurta/2323124/buy","Maroon printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","ViscoseMachine-wash"
"kurtas/anouk/anouk-women-pink--white-printed-a-line-kurta/2323240/buy","Pink and white printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, front slit","Cotton Machine-wash"
"kurtas/anouk/anouk-women-blue--off-white-printed-straight-kurta/2012164/buy","Blue and off-white printed straight kurta, has a round neck, sleeveless, straight hem, side slits","Viscose Rayon Machine-wash"
"kurtas/anouk/anouk-women-brown--grey-printed-a-line-kurta/2128218/buy","Mustard yellow and grey printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slitsThis kurta can also be worn as a dress","100% cottonHand-wash"
"kurtas/anouk/anouk-women-navy-blue--red-printed-a-line-kurta/2323048/buy","Navy blue and red printed A-line kurta, has a round neck, sleeveless, flared hem","100% viscoseMachine-wash"
"kurtas/anouk/anouk-women-blue-printed-anarkali-kurta/2370028/buy","Blue printed anarkali kurta, has a round neck, three-quarter sleeves, flared hem","70% cotton, 30% viscoseHand-wash"
"kurtas/anouk/anouk-women-purple--white-printed-a-line-kurta/2323238/buy","Purple and white printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, no slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-off-white--grey-melange-striped-straight-kurta/2038913/buy","Off-white and grey melange striped straight kurta, has a shirt collar, three-quarter sleeves, straight hem, side slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-beige-genda-phul-collection-chanderi-blend-kurta/2323266/buy","Beige printed A-line kurta, has a boat neck, three-quarter cold-shoulder sleeves, flared hem, no slits","Chanderi blendHand-wash"
"kurtas/anouk/anouk-women-red-striped-straight-kurta/2038948/buy","Red striped straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","85% viscose, 15% polyesterHand-wash"
"kurtas/anouk/anouk-women-green-printed-anarkali-kurta/2011749/buy","Green printed anarkali kurta, has a V-neck, three-quarter sleeves, flared hem, front slit","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-grey--pink-printed-anarkali-kurta/2322769/buy","Grey and pink printed anarkali kurta with tie-up detail, has a round neck, three-quarter sleeves, flared hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-beige--blue-printed-a-line-kurta/2370063/buy","Beige and blue printed A-line kurta, has a keyhole neck, three-quarter sleeves, curved hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-a-line-kurta/2318280/buy","Multicoloured printed A-line kurta, has a mandarin collar, three-quarter sleeves, curved hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-brown-printed-a-line-kurta/2322975/buy","Brown printed kurta, has a keyhole neck, three-quarter sleeves, flared hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-maroon--blue-printed-a-line-kurta/2322737/buy","Maroon and blue printed A-line layered kurta with embellished and tassel detailing, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-green-yoke-design-a-line-kurta/2012185/buy","Green yoke design A-line kurta, has a round neck, sleeveless, flared hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-a-line-kurta/2012118/buy","Multicoloured printed A-line kurta, has a round neck, sleeveless, asymmetric hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-green-striped-a-line-kurta/2322965/buy","Green striped A-line kurta, has a V-neck, three-quarter sleeves, curved hem, no slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-blue--beige-printed-high-low-kurta/2323104/buy","Blue and beige printed anarkali kurta, has a round neck, three-quarter sleeves, high-low hem","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-mustard-brown--beige-printed-a-line-kurta/2016830/buy","Mustard brown and beige printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-yellow-printed-a-line-kurta/2323234/buy","Yellow printed A-line kurta, has a keyhole neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-navy--beige-printed-a-line-kurta/2438879/buy","Navy blue and beige printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, no slits","85% viscose and 15% polyesterHand-wash"
"kurtas/anouk/anouk-women-brown--grey-printed-anarkali-kurta/2322719/buy","Brown and grey printed anarkali kurta with mirror detailing has a round neck, sleeveless, flared hem, no slits","50% cotton, 50% rayonMachine-wash"
"kurtas/anouk/anouk-women-blue-solid-a-line-fusion-kurta/2323159/buy","Blue solid A-line kurta, has a round neck, three-quarter sleeves, flared hemThis kurta can also be styled as dress","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-blue--white-printed-kurta/2323243/buy","Blue and white printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-brown-chanderi-blend-woven-design-anarkali-kurta/2323264/buy","Brown woven design Anarkali kurta, has a round neck, sleeveless, flared hem","Chanderi blendHand-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2323247/buy","Blue printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-blue--green-printed-a-line-kurta/2322786/buy","Blue and green printed A-line kurta, has a stylised V-neck, three-quarter sleeves, asymmetric hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-brown-printed-a-line-kurta/2323071/buy","Brown and mustard yellow printed A-line kurta, has a mandarin collar, long sleeves, flared hem","100% cottonHand-wash"
"kurtas/anouk/anouk-women-black--white-striped-straight-kurta/2323102/buy","Black and white striped straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-red-printed-straight-kurta/2324842/buy","Red printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-blue--off-white-checked-straight-kurta/2012157/buy","Blue and off-white checked straight kurta, has a shirt collar, short sleeves, straight hem, side slits","Viscose Rayon  Machine-wash"
"kurtas/anouk/anouk-women-green-printed-a-line-kurta/2322739/buy","Green printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-orange--beige-printed-a-line-kurta/2322802/buy","Orange and beige printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, front slit","100% cottonHand-wash"
"kurtas/anouk/anouk-women-red--black-colourblocked-layered-straight-kurta/2324843/buy","Black and red colourblocked straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slitsComes with a red layer which has a round neck and sleeveless","Viscose Machine-wash"
"kurtas/anouk/anouk-women-navy-printed-straight-kurta/2322795/buy","Navy blue printed straight kurta, has a V-neck, three-quarter sleeves, straight hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue--white-printed-a-line-kurta/2323245/buy","Blue and white printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-red--white-printed-a-line-kurta/2323175/buy","Red and white printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-blue-dyed-a-line-kurta/2323231/buy","Blue dyed A-line kurta, has a round neck, sleeveless, flared hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-white--black-printed-straight-kurta/2140518/buy","White and black printed straight kurta, has a round collar, three-quarter sleeves, straight hem, side slits","100% viscoseMachine-wash"
"kurtas/anouk/anouk-women-beige-genda-phul-collection-chanderi-blend-printed-a-line-kurta/2318275/buy","Beige printed A-line layered kurta, has a round neck, three-quarter sleeves, straight hem, front slitinner layer is solid A-line kurtha with a boat neck, sleeveless and no slits with curved hem","Chanderi blendHand-wash"
"kurtas/anouk/anouk-women-white-printed-straight-kurta/2322937/buy","White printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-blue--white-striped-a-line-fusion-kurta/2012111/buy","Blue and white striped A-line fusion kurta, has a round neck, three-quarter bell sleeves, two pockets, straight hem, no slitsThis kurta can also be styled as dress","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2322958/buy","Black printed A-line kurta, has a V-neck, three-quarter sleeves, flared hem","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-black-yoke-design-a-line-kurta/2323027/buy","Black yoke design A-line kurta, has a keyhole neck, three-quarter sleeves, straight hem, side slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-black-embroidered-straight-kurta/2323098/buy","Black embroidered straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-brown-printed-a-line-kurta/2323258/buy","Brown printed A-line kurta, has a mandarin collar, sleeveless, straight hem, no slits","Polyester  Hand-wash"
"kurtas/anouk/anouk-women-navy-blue-solid-a-line-kurta/2323121/buy","Navy blue solid A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","100% viscose rayonMachine-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2323187/buy","Black printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, side slits","100% cottonHand-wash"
