"kurtas/aks/aks-women-green--peach-coloured-floral-print-a-line-kurta/2111393/buy","Green and peach-coloured floral print A-line kurta, has a round neck, short sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-blue--beige-colourblocked-straight-kurta/2448855/buy","Blue and beige colourblocked straight kurta, has a round neck, sleeveless, straight hem, side slits","ViscoseMachine-wash"
"kurtas/aks/aks-women-cream-coloured--blue-checked-a-line-kurta/2262307/buy","Cream-coloured and blue checked A-line kurta, has a round neck, short sleeves, flared hem, no slits","ViscoseMachine-wash"
"kurtas/aks/aks-women-blue--yellow-embellished-anarkali-kurta/2111405/buy","Blue and yellow embellished Anarkali kurta, has a round neck, short sleeves, curved hem","Cotton  Dry-clean"
"kurtas/aks/aks-women-black--brown-printed-anarkali-kurta/2250060/buy","Black and brown printed Anarkali kurta with a tinge of olive green, has a round neck, short sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-brown--black-printed-straight-kurta/2448868/buy","Brown, black and rust orange printed straight kurta, has a mandarin collar, short sleeves, straight hem, multiple slits, button closure","Cotton  Machine-wash"
"kurtas/aks/aks-women-magenta-woven-design-straight-kurta/2448883/buy","-","Cotton Machine-wash"
"kurtas/aks/aks-women-olive-brown--black-printed-straight-kurta/2250058/buy","Olive brown and black printed straight kurta, has a round neck, short roll-up sleeves, straight hem, side slits","Cotton Machine-wash"
"kurtas/aks/aks-women-red-solid-fringed-straight-kurta/2111519/buy","Red solid straight kurta with fringes, has a round neck with a short button placket, short sleeves, two printed patch pockets, straight hem, side slits","Cotton  Hand-wash cold"
"kurtas/aks/aks-women-grey--off-white-printed-a-line-kurta/2249975/buy","Grey and off-white printed A-line kurta, has a round neck, short sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy-blue--gold-toned-printed-a-line-kurta/2167335/buy","Navy blue and gold-toned printed A-line kurta, has a round neck, short sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-mustard-yellow-geometric-print-straight-kurta/2493403/buy","Mustard yellow geometric print straight kurta, has a stylised mandarin collar, button closures, short sleeves, straight hem, side slits","Viscose rayonMachine-wash"
"kurtas/aks/aks-women-brown--off-white-printed-a-line-kurta/2111404/buy","Brown, off-white and orange printed A-line kurta, has a round neck, short sleeves, 2 pockets, flared hem","Cotton  Dry-clean"
